DATE,Indigenous Production
"2008 
1st quarter",20873.00
"2008 
2nd quarter",18548.00
"2008 
3rd quarter",14791.00
"2008 
4th quarter",19226.00
"2009 
1st quarter",18069.00
"2009 
2nd quarter",16463.00
"2009 
3rd quarter",11814.00
"2009 
4th quarter",15413.00
"2010 
1st quarter",16258.00
"2010 
2nd quarter",15413.00
"2010 
3rd quarter",12767.00
"2010 
4th quarter",13972.00
"2011 
1st quarter",13339.00
"2011 
2nd quarter",11582.00
"2011 
3rd quarter",9199.00
"2011 
4th quarter",12367.00
"2012 
1st quarter",11676.00
"2012 
2nd quarter",10069.00
"2012 
3rd quarter",8130.00
"2012 
4th quarter",9665.00
"2013 
1st quarter",9979.00
"2013 
2nd quarter",9900.00
"2013 
3rd quarter",7899.00
"2013 
4th quarter",9536.00
"2014 
1st quarter",10213.00
"2014 
2nd quarter",9577.00
"2014 
3rd quarter",8290.00
"2014 
4th quarter",9694.00
"2015 
1st quarter",10234.00
"2015 
2nd quarter",10776.00
"2015 
3rd quarter",9027.00
"2015 
4th quarter",11003.00
"2016 
1st quarter",10620.00
"2016 
2nd quarter",10140.00
"2016 
3rd quarter",9905.00
"2016 
4th quarter",10988.00
"2017 
1st quarter",11263.00
"2017 
2nd quarter",10876.00
"2017 
3rd quarter",8894.00
"2017 
4th quarter",11067.00
"2018 
1st quarter",10804.00
"2018 
2nd quarter",10120.00
"2018 
3rd quarter",9393.00
"2018 
4th quarter",10421.00
"2019 
1st quarter",10155.00
"2019 
2nd quarter",9594.00
"2019 
3rd quarter",8773.00
"2019 
4th quarter",10864.00
"2020 
1st quarter",10404.00
"2020 
2nd quarter",10412.00
"2020 
3rd quarter",8750.00
"2020 
4th quarter",9866.00
"2021 
1st quarter",8934.00
"2021 
2nd quarter",6181.00
"2021
3rd quarter",7792.00
"2021
4th quarter",9663.00
"2022
1st quarter",9391.00
"2022
2nd quarter",9575.00
"2022
3rd quarter",9023.00
"2022
4th quarter",9748.00
"2023
1st quarter",9220.00
"2023
2nd quarter",8686.00
"2023
3rd quarter ",7842.00
