DATE,Indigenous Production,Imports,Total demand
"2008 
1st quarter",20873.00,11885.00,32708.00
"2008 
2nd quarter",18548.00,7468.00,21066.00
"2008 
3rd quarter",14791.00,6425.00,17130.00
"2008 
4th quarter",19226.00,11409.00,27850.00
"2009 
1st quarter",18069.00,13046.00,29935.00
"2009 
2nd quarter",16463.00,7848.00,18201.00
"2009 
3rd quarter",11814.00,7473.00,16048.00
"2009 
4th quarter",15413.00,14528.00,27895.00
"2010 
1st quarter",16258.00,17240.00,33764.00
"2010 
2nd quarter",15413.00,12166.00,20302.00
"2010 
3rd quarter",12767.00,8875.00,15798.00
"2010 
4th quarter",13972.00,17581.00,29548.00
"2011 
1st quarter",13339.00,17006.00,28669.00
"2011 
2nd quarter",11582.00,12063.00,16825.00
"2011 
3rd quarter",9199.00,11344.00,14832.00
"2011 
4th quarter",12367.00,14489.00,22359.00
"2012 
1st quarter",11676.00,15780.00,25293.00
"2012 
2nd quarter",10069.00,11414.00,17006.00
"2012 
3rd quarter",8130.00,8971.00,12139.00
"2012 
4th quarter",9665.00,15351.00,23189.00
"2013 
1st quarter",9979.00,16882.00,28424.00
"2013 
2nd quarter",9900.00,12318.00,16499.00
"2013 
3rd quarter",7899.00,7282.00,11128.00
"2013 
4th quarter",9536.00,13356.00,21006.00
"2014 
1st quarter",10213.00,13327.00,23121.00
"2014 
2nd quarter",9577.00,9893.00,14164.00
"2014 
3rd quarter",8290.00,8370.00,12432.00
"2014 
4th quarter",9694.00,12859.00,21010.00
"2015 
1st quarter",10234.00,14447.00,25447.00
"2015 
2nd quarter",10776.00,8655.00,14879.00
"2015 
3rd quarter",9027.00,9513.00,12414.00
"2015 
4th quarter",11003.00,12981.00,20001.00
"2016 
1st quarter",10620.00,13970.00,26151.00
"2016 
2nd quarter",10140.00,10278.00,17037.00
"2016 
3rd quarter",9905.00,7948.00,12787.00
"2016 
4th quarter",10988.00,14946.00,24690.00
"2017 
1st quarter",11263.00,14723.00,26205.00
"2017 
2nd quarter",10876.00,8418.00,15895.00
"2017 
3rd quarter",8894.00,9020.00,13018.00
"2017 
4th quarter",11067.00,14824.00,23864.00
"2018 
1st quarter",10804.00,17518.00,28544.00
"2018 
2nd quarter",10120.00,8265.00,15661.00
"2018 
3rd quarter",9393.00,7388.00,12828.00
"2018 
4th quarter",10421.00,13743.00,22577.00
"2019 
1st quarter",10155.00,15147.00,25885.00
"2019 
2nd quarter",9594.00,10913.00,16685.00
"2019 
3rd quarter",8773.00,5900.00,12251.00
"2019 
4th quarter",10864.00,14075.00,23807.00
"2020 
1st quarter",10404.00,13522.00,23945.00
"2020 
2nd quarter",10412.00,8803.00,13857.00
"2020 
3rd quarter",8750.00,6643.00,12776.00
"2020 
4th quarter",9866.00,14950.00,23281.00
"2021 
1st quarter",8934.00,18354.00,26599.00
"2021 
2nd quarter",6181.00,11454.00,17125.00
"2021
3rd quarter",7792.00,6800.00,12247.00
"2021
4th quarter",9663.00,14743.00,21706.00
"2022
1st quarter",9391.00,16360.00,23576.00
"2022
2nd quarter",9575.00,13331.00,15098.00
"2022
3rd quarter",9023.00,10791.00,12802.00
"2022
4th quarter",9748.00,16041.00,20081.00
"2023
1st quarter",9220.00,16290.00,22229.00
"2023
2nd quarter",8686.00,10317.00,13148.00
"2023
3rd quarter",7842.00,5847.00,10303.00
