Avg Deaths Per Year,County,Demographic clusters,Demoraphic cluster (5),Mortality Group,State,TARGET deathRate (bin),Avg Ann Count,Avg Household Size,Birth Rate,Incidence Rate,Med Income,Median Age,Median Age Female,Median Age Male,Pct Asian,Pct Black,Pct Emp Priv Coverage,Pct Married Households,Pct Other Race,Pct Private Coverage,Pct Private Coverage Alone,Pct Public Coverage,Pct Public Coverage Alone,Pct White,PctBachDeg18 24,PctBachDeg25 Over,PctEmployed16 Over,PctHS18 24,PctHS25 Over,PctNoHS18 24,PctSomeCol18 24,PctUnemployed16 Over,Percent Married,popEst2015,Poverty Percent,Study Per Cap,TARGET deathRate
21,Radford city,Cluster 2,Cluster 2,1,Virginia,190,51,2.57,1.039129729,463.1,34267,22.3,22.3,22.4,1.93468957,9.186844111,52.5,31.13018076,0.732836958,76.1,65.1,22.8,13.2,85.29635927,7.2,20.7,44.8,17.7,22.6,1.7,,8.8,25.3,17403,32.4,0,193.1
22,Madison County,Cluster 4,Cluster 2,0,Idaho,120,74,3.6,6.963315217,376.2,36065,23.2,22.3,23.8,1.099799557,0.693638569,44.4,71.70305677,0.967929106,76,65.5,21.6,13.5,95.3159616,5.6,23.3,56.7,16.6,15.8,4.3,73.5,10.2,53.6,38273,27.1,0,125.2
51,Harrisonburg city,Cluster 1,Cluster 2,0,Virginia,150,190,2.69,2.564793362,591.1,38541,23.5,22.8,24.5,4.10212501,7.122285358,54.9,34.66999817,1.181209621,72.8,63.8,18.2,10.4,84.75714175,6.8,20.6,54.6,15.7,26.5,2.9,,6.5,28.7,52538,28.3,57.10152651,150.5
23,Williamsburg city,Cluster 2,Cluster 2,0,Virginia,160,135,2.37,2.181467181,1014.2,46954,24.6,23.6,25.6,5.889928155,15.27721296,52.2,36.33759365,0.460891962,83.3,67.6,22,8.9,74.88816592,10.2,27.1,44.5,10,15.5,1.5,78.3,8.5,26.2,15052,20.1,0,162.1
50,Whitman County,Cluster 2,Cluster 2,0,Washington,140,134,2.31,3.304159034,390.5,41837,24.2,23.9,24.4,7.614951751,2.154609838,53.8,40.55405483,1.61542247,78.3,66.2,22.9,11.9,83.58260051,10.3,25.7,53.4,16.4,17.4,1.2,,8.8,36.1,48177,28.4,0,140.8
9,Chattahoochee County,Cluster 4,Cluster 2,1,Georgia,220,24,3.24,11.7201426,510.8,45933,23.3,24.5,23,3.147557495,15.79654188,17.4,67.25663717,2.853785462,80.6,,16.1,7.4,69.92613732,9.1,19.3,24,40,27,8.4,,16.5,46.8,11368,18.8,0,220.6
361,Utah County,Cluster 4,Cluster 1,0,Utah,120,1251,3.62,8.614426925,394.9,60957,24.4,24.6,24.3,1.501022725,0.607837205,58.9,71.12700722,2.11556335,78.3,69.1,17,9.2,91.94593057,7.6,25.8,,21.7,16.8,9.9,,5.5,58.8,575205,12.6,62.58638225,120.4
21,Clay County,Cluster 2,Cluster 2,1,South Dakota,170,46,2.21,2.566452796,393.5,43453,25.2,24.8,25.6,2.069802298,1.484547855,49,39.62511715,1.077724645,74.5,,24.5,13,90.06494897,11.9,23.4,63.1,22,27.8,3.5,,6.8,36.6,13964,24.9,572.9017474,170.9
80,Cache County,Cluster 4,Cluster 2,0,Utah,100,295,3.19,7.221172023,376.1,51735,25,24.9,25.2,2.235864077,0.754369982,57.9,64.39400308,3.491728325,78.2,68.5,19.4,10.8,90.51758636,8.7,23.9,,21.8,21.9,5.4,64.1,5.5,56.1,120783,14.2,157.3069058,104.1
13,Todd County,Cluster 4,Cluster 2,1,South Dakota,230,25,3.62,13.07106599,414.3,27481,23.9,25.2,22.8,0.563266948,0.331925166,13.5,26.67153818,0.130758399,22.3,15.7,52.3,43.3,10.1991551,0.9,10.3,46.5,31.1,22.2,39.9,,25.4,28.5,9959,47.4,0,238.8
